term,component_1,component_2
opportunity,-0.1868255218947763,-0.08426229904817682
introduction,-0.18620803393865465,0.10400424041928938
opportunities,-0.18524564677119737,-0.2359207459349167
office,-0.18514219124020403,-0.03413970748240871
guidelines,-0.18488872652533372,0.12033828800456797
validity,-0.18461623055571272,0.044364548574381456
current study,-0.18422828415815287,0.22700486848351517
cancer,-0.18400389954962285,0.3985258168776493
involved,-0.18397822917644346,0.021182985000560043
intention,-0.1839176827338529,-0.14928262416588278
east,-0.18287386895757304,0.2224006951149696
giving,-0.18244716071107964,-0.019146991477907944
choices,-0.18218388081889336,-0.06929207055242241
province,-0.18211955392133888,0.22406706681127164
confidence,-0.18207105749971983,-0.035431381438251364
regard,-0.18190685561390887,0.03572792246342721
brand,-0.18146535604295222,-0.22850115653291345
translation,-0.1812262617652475,-0.11053131532505243
study explores,-0.1804573398915951,-0.2586073665130883
reflect,-0.18033923457819573,-0.0037763684460983137
explain,-0.1802873906139657,0.03714624395050855
therapeutic,-0.17997639610818575,0.4842963123823625
individuals,-0.17994275607393737,0.06784271326006219
historical,-0.17982197620378604,-0.04250371515230415
governance,-0.17966529555391747,-0.269939353764122
research aims,-0.1791442362892853,-0.19362688319366742
website,-0.17862687015233344,-0.20330934421484123
exam,-0.1783290209636866,-0.14922824111058347
patients,-0.17814408470245613,0.4671872887082972
received,-0.17791241520569526,0.16249151916580168
extent,-0.17777459227355488,0.08229637572606392
teams,-0.17769158974760418,-0.16726067882879964
emphasis,-0.17727072074991726,-0.09064887638767881
seen,-0.17662361273317603,0.09014861327195282
influences,-0.176375988269516,0.012181231200419012
adequate,-0.17615351741937418,0.0829197893281504
presentation,-0.17567791149083536,-0.06805273951844641
india,-0.17540850193124116,0.08729203721624203
little,-0.1748272760634479,0.09724742691996927
guides,-0.1747555764442281,-0.08219528855305355
word,-0.17464317098140472,-0.03054701325440295
personnel,-0.17357873576546815,-0.045009025268126376
conference,-0.17348413435540344,-0.0577681542043442
situation,-0.17335715526747605,-0.01199612319543164
understood,-0.1732636750715381,0.08499822144886676
picture,-0.17294748113171998,0.01710067615495786
experts,-0.17257930490565457,-0.11161074113150285
