term,component_1,component_2
methodology approach,-0.2558713236463486,-0.25165520708857636
policy,-0.2557338160962951,-0.1007664009996565
positively,-0.2551119586963812,0.00805913530267596
reflection,-0.2549158419222961,-0.10642615946064918
drawing,-0.2548785521719127,-0.19253809731748656
countries,-0.2543212208989338,0.043191462450400314
dialogue,-0.25431623767273376,-0.1973873465836058
communities,-0.2542809490122007,0.025984375645895962
statistics,-0.25417703511726114,0.038206165491178
engagement,-0.25412903497468703,-0.30802788664245667
majority,-0.2538382237396522,0.19117717774640008
seeking,-0.25337168897226175,-0.1444837402484552
disabilities,-0.25311876069301753,-0.14845000330270233
originality,-0.2531052425227433,-0.24056434294280418
social media,-0.25264824708821493,-0.2421688469590205
death,-0.25255062865885636,0.30766350442098994
formal,-0.25240861101749285,-0.10165953061893401
international,-0.25236168382409574,-0.05422424822843483
study conducted,-0.2518872363478749,0.2353674845306753
comprehension,-0.25187253352193445,-0.15110601246843883
thought,-0.2517053888837445,0.046572293806600724
know,-0.2510239198148663,-0.014477296627689444
